query_1,query_2,query_3,query_4,query_5,query_6,query_7,query_8,query_9,query_10
"SELECT longitude, COUNT(*) FROM tb16 GROUP BY {column1} HAVING COUNT(*) > 523;","SELECT latitude, SUM(country) FROM tb37 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT longitude, longitude FROM tb8 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT * FROM tb18 WHERE latitude = 305;","SELECT COUNT(*) FROM tb7 WHERE latitude = 488;","SELECT age, SUM(longitude) FROM tb49 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT * FROM tb15 WHERE latitude = 308;","SELECT name, SUM(longitude) FROM tb45 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT COUNT(*) FROM tb39 WHERE latitude = 248;","SELECT longitude, COUNT(*) FROM tb34 GROUP BY {column1} HAVING COUNT(*) > 104;"
"SELECT COUNT(*) FROM tb18 WHERE country = 794;","SELECT AVG(latitude) FROM tb42 WHERE {column} > 201;","SELECT longitude, name FROM tb13 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT country, COUNT(*) FROM tb38 GROUP BY {column1} HAVING COUNT(*) > 938;","SELECT latitude, COUNT(*) FROM tb39 GROUP BY {column1} HAVING COUNT(*) > 647;","SELECT COUNT(*) FROM tb20 WHERE age = 523;","SELECT name, longitude FROM tb6 WHERE {column1} > 244 AND {column2} < {value};","SELECT country, name FROM tb33 WHERE {column1} > 376 AND {column2} < {value};","SELECT latitude, COUNT(*) FROM tb36 GROUP BY {column1} HAVING COUNT(*) > 663;","SELECT latitude, country FROM tb24 WHERE {column1} > 501 AND {column2} < {value};"
"SELECT name, name FROM tb40 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT name, longitude FROM tb6 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT name, latitude FROM tb6 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT name, latitude FROM tb30 WHERE {column1} > 137 AND {column2} < {value};","SELECT AVG(country) FROM tb8 WHERE {column} > 732;","SELECT latitude, SUM(country) FROM tb26 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT age, COUNT(*) FROM tb5 GROUP BY {column1} HAVING COUNT(*) > 462;","SELECT latitude, COUNT(*) FROM tb50 GROUP BY {column1} HAVING COUNT(*) > 260;","SELECT COUNT(*) FROM tb6 WHERE country = 94;","SELECT country, COUNT(*) FROM tb49 GROUP BY {column1} HAVING COUNT(*) > 927;"
"SELECT longitude, MAX(country) FROM tb49 GROUP BY {column1};","SELECT AVG(age) FROM tb42 WHERE {column} > 132;","SELECT AVG(name) FROM tb11 WHERE {column} > 595;","SELECT age, COUNT(*) FROM tb2 GROUP BY {column1} HAVING COUNT(*) > 285;","SELECT country, SUM(country) FROM tb36 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT name, COUNT(*) FROM tb29 GROUP BY {column1} HAVING COUNT(*) > 897;","SELECT AVG(age) FROM tb28 WHERE {column} > 625;","SELECT name, name FROM tb23 WHERE {column1} > 427 AND {column2} < {value};","SELECT COUNT(*) FROM tb10 WHERE latitude = 309;","SELECT latitude, latitude FROM tb2 GROUP BY {column1} ORDER BY {column2} DESC;"
"SELECT name, COUNT(*) FROM tb43 GROUP BY {column1} HAVING COUNT(*) > 318;","SELECT latitude, COUNT(*) FROM tb27 GROUP BY {column1} HAVING COUNT(*) > 864;","SELECT latitude, SUM(age) FROM tb18 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT country, SUM(age) FROM tb20 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT country, MAX(longitude) FROM tb27 GROUP BY {column1};","SELECT COUNT(*) FROM tb6 WHERE latitude = 299;","SELECT country, SUM(latitude) FROM tb7 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT AVG(latitude) FROM tb17 WHERE {column} > 470;","SELECT name, age FROM tb5 WHERE {column1} > 405 AND {column2} < {value};","SELECT latitude, COUNT(*) FROM tb2 GROUP BY {column1} HAVING COUNT(*) > 457;"
"SELECT age, MAX(country) FROM tb30 GROUP BY {column1};","SELECT country, country FROM tb48 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT name, SUM(country) FROM tb40 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT age, COUNT(*) FROM tb25 GROUP BY {column1} HAVING COUNT(*) > 702;","SELECT COUNT(*) FROM tb12 WHERE longitude = 250;","SELECT latitude, SUM(longitude) FROM tb35 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT age, latitude FROM tb37 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT latitude, latitude FROM tb17 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT name, MAX(latitude) FROM tb18 GROUP BY {column1};","SELECT COUNT(*) FROM tb7 WHERE age = 407;"
"SELECT * FROM tb18 WHERE country = 431;","SELECT name, SUM(longitude) FROM tb21 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT AVG(latitude) FROM tb1 WHERE {column} > 515;","SELECT COUNT(*) FROM tb42 WHERE country = 97;","SELECT longitude, SUM(latitude) FROM tb22 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT longitude, COUNT(*) FROM tb16 GROUP BY {column1} HAVING COUNT(*) > 795;","SELECT COUNT(*) FROM tb46 WHERE longitude = 580;","SELECT COUNT(*) FROM tb26 WHERE age = 463;","SELECT country, SUM(latitude) FROM tb28 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT COUNT(*) FROM tb4 WHERE name = 285;"
"SELECT COUNT(*) FROM tb23 WHERE age = 821;","SELECT age, SUM(age) FROM tb11 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT name, MAX(age) FROM tb10 GROUP BY {column1};","SELECT longitude, MAX(name) FROM tb23 GROUP BY {column1};","SELECT latitude, SUM(age) FROM tb29 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT * FROM tb36 WHERE name = 469;","SELECT longitude, country FROM tb3 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT age, MAX(name) FROM tb23 GROUP BY {column1};","SELECT AVG(name) FROM tb9 WHERE {column} > 776;","SELECT longitude, COUNT(*) FROM tb9 GROUP BY {column1} HAVING COUNT(*) > 576;"
"SELECT AVG(latitude) FROM tb48 WHERE {column} > 381;","SELECT longitude, SUM(country) FROM tb29 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT name, COUNT(*) FROM tb44 GROUP BY {column1} HAVING COUNT(*) > 375;","SELECT AVG(longitude) FROM tb24 WHERE {column} > 824;","SELECT age, MAX(age) FROM tb32 GROUP BY {column1};","SELECT longitude, SUM(name) FROM tb3 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT name, name FROM tb29 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT age, SUM(country) FROM tb50 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT AVG(longitude) FROM tb18 WHERE {column} > 941;","SELECT COUNT(*) FROM tb27 WHERE age = 603;"
"SELECT COUNT(*) FROM tb25 WHERE name = 133;","SELECT COUNT(*) FROM tb26 WHERE longitude = 224;","SELECT name, country FROM tb47 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT latitude, SUM(latitude) FROM tb34 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT age, MAX(longitude) FROM tb44 GROUP BY {column1};","SELECT COUNT(*) FROM tb17 WHERE name = 700;","SELECT AVG(name) FROM tb18 WHERE {column} > 586;","SELECT age, COUNT(*) FROM tb46 GROUP BY {column1} HAVING COUNT(*) > 844;","SELECT age, COUNT(*) FROM tb45 GROUP BY {column1} HAVING COUNT(*) > 317;","SELECT longitude, COUNT(*) FROM tb9 GROUP BY {column1} HAVING COUNT(*) > 835;"
"SELECT COUNT(*) FROM tb21 WHERE country = 62;","SELECT longitude, COUNT(*) FROM tb8 GROUP BY {column1} HAVING COUNT(*) > 560;","SELECT longitude, SUM(country) FROM tb41 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT country, SUM(age) FROM tb7 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT longitude, COUNT(*) FROM tb9 GROUP BY {column1} HAVING COUNT(*) > 685;","SELECT * FROM tb34 WHERE latitude = 879;","SELECT country, latitude FROM tb24 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT longitude, latitude FROM tb17 WHERE {column1} > 572 AND {column2} < {value};","SELECT age, COUNT(*) FROM tb27 GROUP BY {column1} HAVING COUNT(*) > 355;","SELECT COUNT(*) FROM tb28 WHERE longitude = 162;"
"SELECT country, longitude FROM tb24 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT COUNT(*) FROM tb40 WHERE name = 840;","SELECT AVG(age) FROM tb14 WHERE {column} > 862;","SELECT COUNT(*) FROM tb2 WHERE age = 138;","SELECT * FROM tb1 WHERE longitude = 285;","SELECT age, latitude FROM tb7 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT COUNT(*) FROM tb39 WHERE age = 511;","SELECT longitude, COUNT(*) FROM tb47 GROUP BY {column1} HAVING COUNT(*) > 523;","SELECT AVG(country) FROM tb22 WHERE {column} > 517;","SELECT COUNT(*) FROM tb35 WHERE age = 83;"
"SELECT longitude, COUNT(*) FROM tb28 GROUP BY {column1} HAVING COUNT(*) > 808;","SELECT latitude, MAX(country) FROM tb6 GROUP BY {column1};","SELECT name, MAX(longitude) FROM tb23 GROUP BY {column1};","SELECT * FROM tb9 WHERE country = 210;","SELECT longitude, country FROM tb23 WHERE {column1} > 647 AND {column2} < {value};","SELECT COUNT(*) FROM tb44 WHERE latitude = 383;","SELECT country, name FROM tb5 WHERE {column1} > 662 AND {column2} < {value};","SELECT country, COUNT(*) FROM tb44 GROUP BY {column1} HAVING COUNT(*) > 273;","SELECT * FROM tb22 WHERE age = 605;","SELECT * FROM tb11 WHERE latitude = 384;"
"SELECT country, name FROM tb12 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT * FROM tb7 WHERE longitude = 167;","SELECT name, COUNT(*) FROM tb22 GROUP BY {column1} HAVING COUNT(*) > 125;","SELECT COUNT(*) FROM tb47 WHERE longitude = 545;","SELECT latitude, SUM(country) FROM tb31 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT COUNT(*) FROM tb30 WHERE age = 981;","SELECT AVG(country) FROM tb3 WHERE {column} > 9;","SELECT country, SUM(name) FROM tb41 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT COUNT(*) FROM tb14 WHERE age = 888;","SELECT COUNT(*) FROM tb13 WHERE longitude = 422;"
"SELECT latitude, SUM(name) FROM tb27 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT latitude, SUM(longitude) FROM tb25 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT age, MAX(age) FROM tb42 GROUP BY {column1};","SELECT latitude, latitude FROM tb37 WHERE {column1} > 575 AND {column2} < {value};","SELECT * FROM tb5 WHERE longitude = 195;","SELECT * FROM tb2 WHERE latitude = 40;","SELECT longitude, latitude FROM tb50 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT AVG(country) FROM tb5 WHERE {column} > 772;","SELECT longitude, MAX(age) FROM tb29 GROUP BY {column1};","SELECT name, longitude FROM tb41 WHERE {column1} > 789 AND {column2} < {value};"
"SELECT * FROM tb27 WHERE country = 731;","SELECT COUNT(*) FROM tb3 WHERE name = 684;","SELECT longitude, longitude FROM tb47 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT longitude, SUM(latitude) FROM tb26 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT AVG(age) FROM tb32 WHERE {column} > 856;","SELECT age, country FROM tb6 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT latitude, MAX(name) FROM tb11 GROUP BY {column1};","SELECT name, SUM(country) FROM tb6 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT longitude, MAX(latitude) FROM tb27 GROUP BY {column1};","SELECT age, name FROM tb12 WHERE {column1} > 11 AND {column2} < {value};"
"SELECT latitude, name FROM tb7 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT latitude, COUNT(*) FROM tb25 GROUP BY {column1} HAVING COUNT(*) > 750;","SELECT AVG(name) FROM tb41 WHERE {column} > 647;","SELECT country, SUM(name) FROM tb44 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT COUNT(*) FROM tb21 WHERE country = 805;","SELECT country, age FROM tb24 WHERE {column1} > 687 AND {column2} < {value};","SELECT longitude, SUM(name) FROM tb7 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT latitude, age FROM tb47 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT COUNT(*) FROM tb7 WHERE latitude = 230;","SELECT * FROM tb38 WHERE age = 801;"
"SELECT COUNT(*) FROM tb47 WHERE latitude = 769;","SELECT age, MAX(latitude) FROM tb3 GROUP BY {column1};","SELECT COUNT(*) FROM tb1 WHERE latitude = 405;","SELECT longitude, name FROM tb28 WHERE {column1} > 591 AND {column2} < {value};","SELECT age, MAX(longitude) FROM tb24 GROUP BY {column1};","SELECT latitude, country FROM tb5 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT latitude, COUNT(*) FROM tb7 GROUP BY {column1} HAVING COUNT(*) > 283;","SELECT COUNT(*) FROM tb16 WHERE country = 511;","SELECT country, COUNT(*) FROM tb36 GROUP BY {column1} HAVING COUNT(*) > 954;","SELECT AVG(country) FROM tb35 WHERE {column} > 529;"
"SELECT COUNT(*) FROM tb34 WHERE age = 985;","SELECT * FROM tb34 WHERE name = 941;","SELECT country, COUNT(*) FROM tb1 GROUP BY {column1} HAVING COUNT(*) > 224;","SELECT name, COUNT(*) FROM tb3 GROUP BY {column1} HAVING COUNT(*) > 519;","SELECT AVG(latitude) FROM tb46 WHERE {column} > 72;","SELECT country, SUM(country) FROM tb48 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT COUNT(*) FROM tb14 WHERE name = 233;","SELECT country, latitude FROM tb41 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT * FROM tb42 WHERE country = 491;","SELECT latitude, country FROM tb36 WHERE {column1} > 461 AND {column2} < {value};"
"SELECT * FROM tb30 WHERE longitude = 981;","SELECT * FROM tb19 WHERE name = 290;","SELECT longitude, SUM(longitude) FROM tb27 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT latitude, MAX(name) FROM tb5 GROUP BY {column1};","SELECT longitude, MAX(longitude) FROM tb10 GROUP BY {column1};","SELECT longitude, SUM(country) FROM tb8 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT age, MAX(latitude) FROM tb3 GROUP BY {column1};","SELECT longitude, MAX(country) FROM tb36 GROUP BY {column1};","SELECT AVG(name) FROM tb42 WHERE {column} > 895;","SELECT age, COUNT(*) FROM tb5 GROUP BY {column1} HAVING COUNT(*) > 531;"
"SELECT COUNT(*) FROM tb29 WHERE country = 766;","SELECT longitude, SUM(latitude) FROM tb9 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT latitude, MAX(name) FROM tb37 GROUP BY {column1};","SELECT COUNT(*) FROM tb21 WHERE longitude = 628;","SELECT country, MAX(longitude) FROM tb20 GROUP BY {column1};","SELECT COUNT(*) FROM tb24 WHERE country = 736;","SELECT longitude, SUM(country) FROM tb50 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT age, longitude FROM tb37 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT name, COUNT(*) FROM tb7 GROUP BY {column1} HAVING COUNT(*) > 236;","SELECT country, MAX(country) FROM tb22 GROUP BY {column1};"
"SELECT COUNT(*) FROM tb8 WHERE country = 582;","SELECT longitude, COUNT(*) FROM tb22 GROUP BY {column1} HAVING COUNT(*) > 245;","SELECT longitude, COUNT(*) FROM tb29 GROUP BY {column1} HAVING COUNT(*) > 846;","SELECT * FROM tb45 WHERE age = 501;","SELECT * FROM tb9 WHERE age = 877;","SELECT age, COUNT(*) FROM tb14 GROUP BY {column1} HAVING COUNT(*) > 483;","SELECT COUNT(*) FROM tb19 WHERE age = 424;","SELECT country, name FROM tb47 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT name, name FROM tb41 WHERE {column1} > 356 AND {column2} < {value};","SELECT country, COUNT(*) FROM tb22 GROUP BY {column1} HAVING COUNT(*) > 611;"
"SELECT country, age FROM tb33 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT AVG(age) FROM tb29 WHERE {column} > 374;","SELECT age, name FROM tb35 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT country, SUM(country) FROM tb16 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT AVG(longitude) FROM tb3 WHERE {column} > 624;","SELECT * FROM tb33 WHERE longitude = 584;","SELECT longitude, COUNT(*) FROM tb40 GROUP BY {column1} HAVING COUNT(*) > 540;","SELECT latitude, SUM(longitude) FROM tb3 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT longitude, SUM(name) FROM tb46 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT age, MAX(longitude) FROM tb36 GROUP BY {column1};"
"SELECT COUNT(*) FROM tb45 WHERE age = 324;","SELECT name, SUM(country) FROM tb49 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT * FROM tb45 WHERE age = 369;","SELECT longitude, SUM(longitude) FROM tb12 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT age, country FROM tb10 WHERE {column1} > 491 AND {column2} < {value};","SELECT COUNT(*) FROM tb4 WHERE name = 655;","SELECT country, SUM(longitude) FROM tb26 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT AVG(longitude) FROM tb33 WHERE {column} > 236;","SELECT longitude, COUNT(*) FROM tb41 GROUP BY {column1} HAVING COUNT(*) > 832;","SELECT COUNT(*) FROM tb7 WHERE latitude = 945;"
"SELECT longitude, MAX(latitude) FROM tb45 GROUP BY {column1};","SELECT age, country FROM tb45 WHERE {column1} > 303 AND {column2} < {value};","SELECT longitude, longitude FROM tb20 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT age, MAX(latitude) FROM tb12 GROUP BY {column1};","SELECT country, country FROM tb27 WHERE {column1} > 917 AND {column2} < {value};","SELECT AVG(longitude) FROM tb24 WHERE {column} > 315;","SELECT COUNT(*) FROM tb13 WHERE latitude = 693;","SELECT latitude, name FROM tb26 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT COUNT(*) FROM tb39 WHERE latitude = 331;","SELECT * FROM tb41 WHERE country = 339;"
"SELECT age, SUM(country) FROM tb6 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT COUNT(*) FROM tb41 WHERE country = 380;","SELECT age, SUM(latitude) FROM tb2 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT AVG(latitude) FROM tb14 WHERE {column} > 766;","SELECT country, SUM(name) FROM tb3 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT longitude, age FROM tb20 WHERE {column1} > 815 AND {column2} < {value};","SELECT name, COUNT(*) FROM tb16 GROUP BY {column1} HAVING COUNT(*) > 703;","SELECT latitude, age FROM tb36 WHERE {column1} > 132 AND {column2} < {value};","SELECT * FROM tb39 WHERE country = 650;","SELECT COUNT(*) FROM tb14 WHERE longitude = 739;"
"SELECT age, longitude FROM tb30 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT country, SUM(name) FROM tb6 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT * FROM tb25 WHERE latitude = 722;","SELECT age, MAX(country) FROM tb22 GROUP BY {column1};","SELECT age, COUNT(*) FROM tb24 GROUP BY {column1} HAVING COUNT(*) > 303;","SELECT AVG(country) FROM tb30 WHERE {column} > 121;","SELECT country, name FROM tb36 WHERE {column1} > 1000 AND {column2} < {value};","SELECT name, country FROM tb17 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT longitude, age FROM tb30 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT COUNT(*) FROM tb38 WHERE latitude = 412;"
"SELECT AVG(longitude) FROM tb33 WHERE {column} > 831;","SELECT age, MAX(latitude) FROM tb21 GROUP BY {column1};","SELECT age, COUNT(*) FROM tb10 GROUP BY {column1} HAVING COUNT(*) > 261;","SELECT age, SUM(country) FROM tb20 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT latitude, MAX(age) FROM tb20 GROUP BY {column1};","SELECT country, age FROM tb46 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT COUNT(*) FROM tb8 WHERE longitude = 732;","SELECT COUNT(*) FROM tb42 WHERE country = 114;","SELECT age, COUNT(*) FROM tb4 GROUP BY {column1} HAVING COUNT(*) > 865;","SELECT longitude, COUNT(*) FROM tb4 GROUP BY {column1} HAVING COUNT(*) > 437;"
"SELECT latitude, longitude FROM tb43 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT COUNT(*) FROM tb30 WHERE country = 655;","SELECT age, longitude FROM tb37 WHERE {column1} > 434 AND {column2} < {value};","SELECT age, SUM(age) FROM tb20 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT longitude, longitude FROM tb49 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT name, SUM(name) FROM tb12 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT COUNT(*) FROM tb21 WHERE name = 299;","SELECT latitude, SUM(latitude) FROM tb40 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT name, latitude FROM tb6 WHERE {column1} > 976 AND {column2} < {value};","SELECT longitude, COUNT(*) FROM tb13 GROUP BY {column1} HAVING COUNT(*) > 893;"
"SELECT * FROM tb32 WHERE country = 39;","SELECT * FROM tb28 WHERE age = 961;","SELECT COUNT(*) FROM tb23 WHERE age = 918;","SELECT * FROM tb38 WHERE latitude = 748;","SELECT name, SUM(country) FROM tb8 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT latitude, longitude FROM tb29 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT country, name FROM tb21 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT latitude, MAX(latitude) FROM tb12 GROUP BY {column1};","SELECT longitude, COUNT(*) FROM tb44 GROUP BY {column1} HAVING COUNT(*) > 113;","SELECT latitude, country FROM tb39 GROUP BY {column1} ORDER BY {column2} DESC;"
"SELECT longitude, COUNT(*) FROM tb25 GROUP BY {column1} HAVING COUNT(*) > 888;","SELECT age, name FROM tb26 WHERE {column1} > 251 AND {column2} < {value};","SELECT COUNT(*) FROM tb37 WHERE latitude = 810;","SELECT country, MAX(country) FROM tb31 GROUP BY {column1};","SELECT COUNT(*) FROM tb6 WHERE age = 156;","SELECT COUNT(*) FROM tb46 WHERE name = 159;","SELECT country, SUM(name) FROM tb6 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT longitude, COUNT(*) FROM tb33 GROUP BY {column1} HAVING COUNT(*) > 722;","SELECT longitude, latitude FROM tb6 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT country, country FROM tb34 WHERE {column1} > 215 AND {column2} < {value};"
"SELECT country, MAX(latitude) FROM tb1 GROUP BY {column1};","SELECT * FROM tb30 WHERE country = 277;","SELECT COUNT(*) FROM tb23 WHERE age = 49;","SELECT country, SUM(age) FROM tb19 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT longitude, SUM(latitude) FROM tb27 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT name, MAX(longitude) FROM tb6 GROUP BY {column1};","SELECT longitude, SUM(longitude) FROM tb8 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT AVG(name) FROM tb39 WHERE {column} > 376;","SELECT name, age FROM tb48 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT latitude, country FROM tb17 GROUP BY {column1} ORDER BY {column2} DESC;"
"SELECT age, latitude FROM tb26 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT AVG(age) FROM tb39 WHERE {column} > 473;","SELECT COUNT(*) FROM tb8 WHERE longitude = 470;","SELECT * FROM tb8 WHERE age = 478;","SELECT AVG(name) FROM tb32 WHERE {column} > 131;","SELECT AVG(longitude) FROM tb15 WHERE {column} > 167;","SELECT name, SUM(latitude) FROM tb50 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT country, MAX(age) FROM tb28 GROUP BY {column1};","SELECT * FROM tb10 WHERE country = 681;","SELECT * FROM tb43 WHERE country = 443;"
"SELECT latitude, MAX(age) FROM tb12 GROUP BY {column1};","SELECT AVG(country) FROM tb33 WHERE {column} > 755;","SELECT * FROM tb37 WHERE longitude = 31;","SELECT COUNT(*) FROM tb41 WHERE name = 222;","SELECT longitude, longitude FROM tb37 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT country, longitude FROM tb18 WHERE {column1} > 267 AND {column2} < {value};","SELECT latitude, MAX(country) FROM tb33 GROUP BY {column1};","SELECT COUNT(*) FROM tb37 WHERE longitude = 658;","SELECT AVG(name) FROM tb19 WHERE {column} > 514;","SELECT AVG(name) FROM tb36 WHERE {column} > 936;"
"SELECT name, MAX(longitude) FROM tb10 GROUP BY {column1};","SELECT name, COUNT(*) FROM tb9 GROUP BY {column1} HAVING COUNT(*) > 185;","SELECT longitude, SUM(country) FROM tb35 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT * FROM tb36 WHERE age = 160;","SELECT country, COUNT(*) FROM tb29 GROUP BY {column1} HAVING COUNT(*) > 162;","SELECT longitude, MAX(name) FROM tb37 GROUP BY {column1};","SELECT * FROM tb40 WHERE age = 456;","SELECT COUNT(*) FROM tb2 WHERE age = 306;","SELECT AVG(longitude) FROM tb28 WHERE {column} > 139;","SELECT AVG(age) FROM tb36 WHERE {column} > 302;"
"SELECT AVG(longitude) FROM tb49 WHERE {column} > 287;","SELECT * FROM tb30 WHERE age = 320;","SELECT COUNT(*) FROM tb25 WHERE country = 763;","SELECT country, COUNT(*) FROM tb35 GROUP BY {column1} HAVING COUNT(*) > 632;","SELECT * FROM tb15 WHERE latitude = 264;","SELECT age, COUNT(*) FROM tb44 GROUP BY {column1} HAVING COUNT(*) > 290;","SELECT COUNT(*) FROM tb49 WHERE name = 613;","SELECT * FROM tb23 WHERE name = 894;","SELECT country, name FROM tb37 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT country, COUNT(*) FROM tb15 GROUP BY {column1} HAVING COUNT(*) > 433;"
"SELECT AVG(latitude) FROM tb38 WHERE {column} > 747;","SELECT age, name FROM tb47 WHERE {column1} > 545 AND {column2} < {value};","SELECT age, SUM(country) FROM tb35 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT age, MAX(latitude) FROM tb14 GROUP BY {column1};","SELECT * FROM tb14 WHERE age = 986;","SELECT latitude, age FROM tb23 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT country, MAX(name) FROM tb13 GROUP BY {column1};","SELECT * FROM tb2 WHERE name = 555;","SELECT latitude, name FROM tb13 WHERE {column1} > 446 AND {column2} < {value};","SELECT country, country FROM tb25 WHERE {column1} > 283 AND {column2} < {value};"
"SELECT longitude, MAX(age) FROM tb34 GROUP BY {column1};","SELECT COUNT(*) FROM tb41 WHERE latitude = 610;","SELECT latitude, COUNT(*) FROM tb7 GROUP BY {column1} HAVING COUNT(*) > 74;","SELECT * FROM tb11 WHERE longitude = 23;","SELECT AVG(latitude) FROM tb48 WHERE {column} > 967;","SELECT COUNT(*) FROM tb49 WHERE age = 16;","SELECT COUNT(*) FROM tb42 WHERE country = 559;","SELECT AVG(age) FROM tb24 WHERE {column} > 292;","SELECT AVG(longitude) FROM tb23 WHERE {column} > 809;","SELECT COUNT(*) FROM tb21 WHERE longitude = 328;"
